Name,Image
SuryakumarYadav,https://documents.iplt20.com/ipl/IPLHeadshot2023/174.png
RuturajGaikwad,https://documents.iplt20.com/ipl/IPLHeadshot2024/102.png
ViratKohli,https://documents.iplt20.com/ipl/IPLHeadshot2024/2.png
GlennMaxwell,https://documents.iplt20.com/ipl/IPLHeadshot2024/28.png
HeinrichKlaasen,https://documents.iplt20.com/ipl/IPLHeadshot2024/202.png
AndreRussell,https://documents.iplt20.com/ipl/IPLHeadshot2024/141.png
MSDhoni,https://documents.iplt20.com/ipl/IPLHeadshot2024/57.png
RavindraJadeja,https://documents.iplt20.com/ipl/IPLHeadshot2024/46.png
RashidKhan,https://documents.iplt20.com/ipl/IPLHeadshot2024/218.png
MatheeshaPathirana,https://documents.iplt20.com/ipl/IPLHeadshot2024/1014.png
JaspritBumrah,https://documents.iplt20.com/ipl/IPLHeadshot2024/9.png
